study,round,site_name,habitat_type,latitude,longitude,date,detection,dissolved_oxygen,conductivity,temperature,turbidity,depth,velocity,notes
Main,1,15RX,canal,37.19851,-120.76873,4/3/2023,Yes,6.4,841,14.9,18,0.29,0,NA
Main,1,22RX,canal,37.2033,-120.77022,4/3/2023,Yes,11.4,891.3,12.6,22.2,0.32,0,NA
Main,1,10RX,canal,37.206,-120.77628,4/3/2023,Yes,10.2,850,14.2,36.7,0.29,0,NA
Main,1,40RX,canal,37.20761,-120.77947,4/3/2023,Yes,11.6,852,14.1,11.8,0.22,0,NA
Main,1,37RX,canal,37.20892,-120.78094,4/3/2023,Yes,6.6,858,13.6,11.5,0.15,0,NA
Main,1,86RX,canal,37.21041,-120.78231,4/3/2023,Yes,9.4,853,13.3,11.3,0.18,0,NA
Main,1,31RX,canal,37.21204,-120.78377,4/3/2023,Yes,15.6,956,9,8.37,0.19,0,NA
Main,1,77RX,canal,37.21506,-120.78632,4/3/2023,Yes,13,887,12.3,11.2,0.32,0,NA
Main,1,21RX,canal,37.21573,-120.78733,4/3/2023,Yes,11.1,831,14.3,12.7,0.64,0,NA
Main,1,30RX,canal,37.21919,-120.80322,4/3/2023,Yes,14,883,14.8,8.86,0.49,0,NA
Main,1,66RX,canal,37.23935,-120.8213,4/3/2023,No,14.78,691,15.3,8.47,0.44,0.1,NA
Main,1,14RX,canal,37.26173,-120.83367,4/3/2023,Yes,11.52,707,15.3,5.65,0.67,0.1,NA
Main,2,200RX,canal,37.25582,-120.82739,5/10/2023,Yes,2.6,555,17.6,24.7,0.24,0,NA
Main,2,104RX,canal,37.22062,-120.79874,5/10/2023,Yes,1.3,539,18.2,33.3,0.61,0,NA
Main,2,109RX,canal,37.2062,-120.77776,5/10/2023,Yes,2.8,470,18.4,88.4,0.46,0,NA
Main,2,145RX,canal,37.20231,-120.76904,5/10/2023,Yes,3.3,486,18.1,206,0.2,0,NA
Main,2,139RX,canal,37.19807,-120.76838,5/10/2023,Yes,4.3,495,18.9,105,0.3,0,NA
Main,2,121RX,canal,37.19543,-120.7656,5/10/2023,Yes,4.7,634,20.7,37.8,0.27,0,NA
Main,2,183RX,canal,37.26347,-120.84127,5/10/2023,Yes,3.3,504,18,11,0.24,0,NA
Main,2,105RX,canal,37.21145,-120.78333,5/10/2023,Yes,1.2,448.5,17.1,45.7,0.32,0,NA
Main,3,260RX,canal,37.24859,-120.82343,5/22/2023,Yes,11.06,629,26.9,6.7,0.53,0.1,NA
Main,3,251RX,canal,37.21176,-120.78357,5/22/2023,Yes,2.86,592,26.4,37.5,0.35,0,NA
Main,3,231RX,canal,37.20837,-120.78019,5/22/2023,Yes,3.92,591,26.1,37.3,0.35,0,NA
Main,3,296RX,canal,37.20805,-120.77995,5/22/2023,Yes,2.44,594,26,30.3,0.35,0,NA
Main,3,252RX,canal,37.20625,-120.77801,5/22/2023,Yes,4.41,556,25.8,45.1,0.51,0,NA
Main,3,275RX,canal,37.20561,-120.77465,5/22/2023,Yes,3.72,551,25.6,49.1,0.45,0,NA
Main,3,262RX,canal,37.20432,-120.77137,5/22/2023,Yes,4.42,552,25.6,52.6,0.84,0,NA
Main,3,276RX,canal,37.19833,-120.76862,5/22/2023,Yes,4.6,557,15.8,54.6,0.43,0,NA
Main,3,255RX,canal,37.21806,-120.79008,5/22/2023,Yes,6.97,582,26.9,26.4,0.8,0,NA
Main,3,206RX,canal,37.20366,-120.77059,5/22/2023,Yes,2.99,555,25.3,41.2,0.4,0,NA
Main,3,288RX,canal,37.19347,-120.76402,5/22/2023,Yes,6.12,575,26,74,0.61,0.1,NA
Main,3,221RX,canal,37.26871,-120.84261,5/22/2023,Yes,3.79,542,25.9,6.44,0.35,0,NA
Main,3,273RX,canal,37.26349,-120.83691,5/22/2023,Yes,9.44,599,27.2,13.5,0.38,0,NA
Main,3,282RX,canal,37.26052,-120.83244,5/22/2023,Yes,14.84,608,27.4,6.32,0.52,0,NA
Main,3,281RX,canal,37.24512,-120.82301,5/22/2023,Yes,10.43,617,26.2,8.27,0.44,0.1,NA
Main,3,235RX,canal,37.23018,-120.81102,5/22/2023,Yes,12.9,555,30.3,19.3,0.27,0.1,NA
Main,3,299RX,canal,37.2293,-120.81643,5/22/2023,Yes,0.66,635,25.9,8.05,0.36,0,NA
Main,3,208RX,canal,37.2179,-120.82161,NA,NA,NA,NA,NA,NA,NA,NA,"No water at site, so resample could not be conducted"
